id,struct_id,pka_level,value,pka_type
22,25,pKa2,12.92,a
6242,3497,pKa2,1.83,b
1161,645,pKa3,0.0,b
3705,2057,pKa5,6.11,b
6181,3465,pKa1,0.16,a
1541,862,pKa1,1.28,a
5552,3015,pKa1,10.41,b
8425,5198,pKa23,10.15,b
5342,2878,pKa16,13.96,a
3261,1835,pKa2,8.12,a
7775,4808,pKa1,10.22,b
6427,3639,pKa1,1.0,a
3081,1742,pKa2,3.55,b
2457,1377,pKa1,1.48,a
4248,2373,pKa4,0.35,b
713,415,pKa3,2.16,b
5634,3074,pKa1,2.6,a
4882,2643,pKa12,12.31,a
392,230,pKa1,8.8,a
3428,1905,pKa1,11.69,a
5165,2805,pKa2,9.66,a
3505,1943,pKa1,6.29,a
5233,2828,pKa1,7.03,b
7035,4193,pKa1,8.8,b
2206,1236,pKa7,12.26,a
2227,1244,pKa2,3.57,a
3072,1735,pKa3,0.0,b
4245,2373,pKa1,11.65,a
6912,4148,pKa1,12.64,a
5341,2878,pKa15,13.84,a
628,377,pKa2,6.94,b
2730,1531,pKa3,8.23,b
3593,1997,pKa1,9.97,a
3077,1739,pKa1,2.56,b
6768,4006,pKa3,13.4,a
4017,2236,pKa26,11.0,b
7992,4874,pKa3,1.38,b
6814,4074,pKa6,5.65,b
6214,3476,pKa3,1.08,b
131,91,pKa2,3.35,a
3760,2092,pKa1,0.82,a
7330,4429,pKa16,13.49,a
7888,4828,pKa2,12.82,a
614,369,pKa1,10.48,b
8274,5080,pKa3,13.06,a
3328,1868,pKa8,10.75,b
3954,2210,pKa1,2.31,a
2345,1312,pKa1,1.97,a
6058,3363,pKa6,3.13,b
2910,1619,pKa5,11.9,a
8780,5345,pKa5,1.11,b
5557,3023,pKa2,3.76,b
1405,783,pKa14,10.43,b
4966,2679,pKa1,11.93,a
1323,750,pKa2,9.54,a
8222,5020,pKa2,2.55,b
4529,2494,pKa2,7.07,b
7,13,pKa2,10.59,a
2404,1345,pKa1,7.92,a
3713,2067,pKa2,12.96,a
892,517,pKa2,6.19,b
2590,1451,pKa2,2.02,b
3819,2134,pKa1,7.56,a
6421,3636,pKa1,4.27,a
2681,1498,pKa1,10.26,a
5897,3273,pKa3,9.76,a
5954,3301,pKa3,12.25,a
5158,2801,pKa3,7.81,b
3490,1932,pKa1,11.89,a
1495,837,pKa1,8.38,b
5563,3027,pKa1,9.59,a
7771,4805,pKa2,12.47,a
7984,4869,pKa2,0.0,b
7869,4821,pKa30,10.81,b
413,237,pKa4,13.76,a
343,197,pKa6,8.62,b
5024,2712,pKa1,3.23,a
947,541,pKa4,2.98,b
1042,579,pKa3,12.02,a
4258,2376,pKa4,8.26,b
137,92,pKa2,6.36,a
1653,939,pKa2,11.64,a
692,403,pKa3,5.98,b
2652,1482,pKa1,10.46,a
588,350,pKa1,11.48,a
8225,5027,pKa1,11.44,a
5439,2968,pKa7,13.43,a
4253,2374,pKa5,13.19,a
4401,2433,pKa11,12.95,a
6483,3686,pKa2,2.33,b
5903,3273,pKa9,7.12,b
6332,3551,pKa1,1.74,a
5246,2831,pKa1,13.62,a
46,39,pKa1,11.57,a
7377,4481,pKa3,13.34,a
3943,2204,pKa2,4.12,b
8008,4887,pKa2,11.39,a
4452,2460,pKa2,3.44,b
3527,1960,pKa2,12.03,a
5247,2832,pKa1,4.94,b
696,406,pKa3,0.89,b
8761,5334,pKa2,12.59,a
8731,5307,pKa2,8.08,b
7014,4183,pKa3,13.25,a
7528,4613,pKa5,13.44,a
4943,2664,pKa1,10.34,a
902,524,pKa1,2.39,a
326,190,pKa1,10.27,a
8815,5360,pKa1,10.22,a
1601,894,pKa3,8.23,b
4900,2643,pKa30,10.63,b
7468,4553,pKa1,10.18,a
663,390,pKa1,9.11,b
3397,1901,pKa7,12.91,a
7216,4379,pKa5,12.82,a
8513,5232,pKa30,9.94,b
2009,1123,pKa16,13.29,a
2405,1345,pKa2,4.36,b
6907,4141,pKa3,8.92,b
4522,2490,pKa1,4.55,a
5150,2797,pKa1,4.92,a
2646,1479,pKa2,2.38,b
2943,1637,pKa3,13.33,a
7578,4639,pKa4,3.07,a
292,167,pKa1,9.43,b
7171,4338,pKa5,13.77,a
2777,1555,pKa2,7.29,b
8798,5351,pKa3,0.49,b
4590,2516,pKa3,2.08,b
3498,1937,pKa1,2.09,b
7834,4817,pKa4,11.2,a
6097,3402,pKa1,2.48,a
8463,5218,pKa1,8.03,b
5949,3300,pKa2,1.01,a
1899,1044,pKa4,8.63,a
8452,5210,pKa2,8.43,b
8740,5325,pKa2,7.89,b
7710,4718,pKa20,13.45,a
8290,5100,pKa3,7.01,b
7232,4384,pKa3,10.26,a
8845,5379,pKa4,1.05,b
922,530,pKa3,1.52,b
4204,2353,pKa4,12.86,a
1300,729,pKa1,13.82,a
479,276,pKa2,8.87,b
33,35,pKa2,12.48,a
814,489,pKa1,13.13,a
4080,2274,pKa3,2.21,b
4010,2236,pKa19,13.43,a
6760,4002,pKa2,3.36,b
2264,1272,pKa1,8.14,b
3958,2213,pKa1,4.63,a
5242,2830,pKa7,13.92,a
6162,3449,pKa2,3.54,b
2653,1482,pKa2,9.25,b
823,495,pKa1,12.59,a
3250,1828,pKa1,4.79,a
438,252,pKa2,11.92,a
3362,1889,pKa3,4.8,b
3024,1708,pKa1,5.99,a
4676,2548,pKa22,10.57,b
4228,2362,pKa6,4.79,b
5141,2787,pKa4,7.98,b
325,188,pKa1,7.3,b
7858,4821,pKa19,13.42,a
5093,2758,pKa2,5.01,b
170,111,pKa1,12.58,a
1160,645,pKa2,6.71,b
421,243,pKa1,12.81,a
6261,3507,pKa3,5.03,b
5104,2767,pKa1,6.33,a
4826,2617,pKa2,5.65,b
3436,1907,pKa4,0.0,b
4072,2271,pKa2,2.5,b
4915,2649,pKa1,9.16,b
8722,5305,pKa1,8.36,a
6655,3828,pKa4,11.96,a
8247,5058,pKa1,6.46,a
575,341,pKa1,3.54,a
4480,2471,pKa1,12.8,a
2712,1520,pKa4,8.03,b
449,257,pKa2,11.82,a
1274,706,pKa3,3.76,b
6085,3391,pKa2,11.8,a
434,250,pKa3,8.39,b
1757,994,pKa12,13.4,a
3594,1997,pKa2,2.4,b
2606,1463,pKa4,13.95,a
3980,2230,pKa1,7.57,b
3427,1904,pKa3,1.74,b
1333,757,pKa1,8.23,b
7122,4304,pKa2,13.26,a
3079,1741,pKa1,7.28,a
8582,5262,pKa3,4.76,b
6552,3742,pKa2,4.75,b
6905,4141,pKa1,9.42,a
1891,1042,pKa3,7.01,b
2189,1232,pKa1,3.61,a
7939,4858,pKa5,4.16,a
1118,624,pKa1,3.26,a
8564,5256,pKa2,9.17,b
3988,2233,pKa1,9.57,b
1298,725,pKa1,8.38,b
4946,2666,pKa1,2.19,a
4198,2352,pKa2,10.89,a
1791,1010,pKa2,3.55,a
6647,3825,pKa3,6.9,b
8054,4902,pKa1,13.68,a
1071,588,pKa1,4.65,a
6935,4160,pKa3,9.51,b
2489,1393,pKa2,8.64,b
955,544,pKa2,3.92,a
4669,2548,pKa15,13.61,a
8096,4922,pKa8,0.73,b
116,85,pKa2,13.01,a
1733,987,pKa2,1.56,a
2598,1461,pKa1,10.73,a
4193,2350,pKa3,2.72,b
7236,4394,pKa1,9.46,a
3710,2064,pKa1,8.13,b
4396,2433,pKa6,12.09,a
5615,3065,pKa4,13.43,a
7005,4180,pKa4,12.76,a
4465,2466,pKa1,5.98,a
1434,799,pKa3,6.04,b
5249,2834,pKa2,11.89,a
2994,1676,pKa2,5.42,a
7277,4420,pKa3,13.67,a
1198,666,pKa4,13.14,a
1496,837,pKa2,2.37,b
4582,2513,pKa3,2.06,b
6827,4111,pKa1,6.06,a
4880,2643,pKa10,4.81,a
3824,2137,pKa1,13.72,a
7114,4300,pKa1,6.37,a
5398,2960,pKa6,13.32,a
3640,2031,pKa1,7.24,a
6550,3741,pKa1,9.3,b
3197,1803,pKa1,13.07,a
5442,2968,pKa10,6.69,b
6968,4164,pKa27,13.97,a
8729,5306,pKa6,0.35,b
6726,3952,pKa2,0.0,b
139,92,pKa4,13.04,a
7286,4424,pKa4,12.11,a
7620,4666,pKa3,12.9,a
4400,2433,pKa10,12.81,a
2196,1234,pKa1,11.74,a
2979,1664,pKa1,8.37,b
4037,2247,pKa1,12.65,a
3851,2155,pKa1,0.76,a
2137,1202,pKa1,1.89,b
6305,3535,pKa6,13.49,a
3170,1792,pKa3,9.29,b
6617,3801,pKa1,10.74,b
5571,3035,pKa1,4.99,a
3999,2236,pKa8,12.6,a
5049,2729,pKa1,5.22,b
8235,5046,pKa1,13.38,a
4985,2685,pKa1,12.82,a
4097,2284,pKa1,9.04,b
3033,1711,pKa1,0.61,a
8671,5290,pKa1,8.84,a
6442,3646,pKa2,5.55,b
4820,2612,pKa2,5.42,b
1855,1025,pKa1,2.79,a
4536,2497,pKa2,1.93,b
3530,1966,pKa1,9.59,a
1602,897,pKa1,7.63,b
5177,2807,pKa8,12.78,a
703,410,pKa2,6.89,b
4370,2418,pKa3,4.69,b
6211,3474,pKa2,5.02,a
4438,2449,pKa2,10.5,b
3365,1892,pKa1,11.67,a
1263,702,pKa4,11.9,a
3909,2186,pKa2,1.82,b
3471,1920,pKa2,3.14,b
2820,1577,pKa3,8.85,b
2993,1676,pKa1,3.65,a
2401,1343,pKa1,11.71,a
2960,1648,pKa1,3.38,a
3950,2207,pKa3,4.2,b
1976,1109,pKa1,4.22,b
6743,3976,pKa1,11.38,a
7955,4858,pKa21,13.49,a
1163,647,pKa1,8.69,b
3266,1836,pKa2,4.98,b
3921,2195,pKa1,8.9,b
8226,5027,pKa2,8.5,b
1272,706,pKa1,8.61,a
5202,2815,pKa1,8.91,b
1411,786,pKa1,7.85,a
8183,4962,pKa1,11.08,a
1719,979,pKa1,6.63,b
1686,960,pKa2,9.21,a
