id,doid,source,xref
554665,DOID:1759,ICD10CM,B39.4
557155,DOID:5751,UMLS_CUI,C1335315
559782,DOID:0070254,MESH,C565264
569584,DOID:0050969,OMIM,607458
573116,DOID:2352,SNOMEDCT_US_2019_09_01,399187006
561400,DOID:6605,NCI,C27888
545835,DOID:13487,ICD10CM,F84.3
546152,DOID:3153,UMLS_CUI,C0023801
552256,DOID:14227,ICD10CM,N46.0
564157,DOID:8392,NCI,C39923
557477,DOID:0110720,ORDO,228343
566731,DOID:0080539,ORDO,2836
554533,DOID:5719,GARD,5755
544241,DOID:5990,NCI,C5307
553630,DOID:0040037,SNOMEDCT_US_2019_09_01,294565006
572549,DOID:14482,MESH,D006559
564997,DOID:626,ICD10CM,D84.1
562644,DOID:11125,ICD10CM,D69.1
565447,DOID:1670,UMLS_CUI,C0157770
558382,DOID:5556,UMLS_CUI,C0855197
565310,DOID:9931,UMLS_CUI,C0043068
549318,DOID:0040065,SNOMEDCT_US_2019_09_01,294978001
548906,DOID:918,UMLS_CUI,C1333967
543998,DOID:11994,ICD9CM,608.3
548930,DOID:13100,MESH,D020301
549496,DOID:13448,SNOMEDCT_US_2019_09_01,267639001
565118,DOID:0090010,ICD10CM,D84.8
572397,DOID:0070170,OMIM,617592
571117,DOID:0111642,OMIM,618456
548177,DOID:8564,ICD9CM,140
570871,DOID:8389,NCI,C5824
559338,DOID:11219,ICD10CM,H10.01
569613,DOID:14032,SNOMEDCT_US_2019_09_01,93948004
551280,DOID:11623,SNOMEDCT_US_2019_09_01,42711005
567741,DOID:1572,MESH,D006850
560659,DOID:12271,SNOMEDCT_US_2019_09_01,69278003
551572,DOID:0080487,OMIM,614887
552278,DOID:2475,NCI,C35197
544792,DOID:1650,UMLS_CUI,C0153554
574240,DOID:10629,GARD,12085
547926,DOID:0060306,GARD,2033
569900,DOID:320,SNOMEDCT_US_2019_09_01,29774004
549730,DOID:1406,NCI,C50621
558148,DOID:11678,ICD10CM,B73
549029,DOID:1895,UMLS_CUI,C0155178
542817,DOID:0050545,OMIM,613751
550660,DOID:2710,MESH,D018877
569264,DOID:11831,ICD9CM,377.75
566131,DOID:599,SNOMEDCT_US_2019_09_01,54587008
576298,DOID:6917,SNOMEDCT_US_2019_09_01,128711009
544801,DOID:5299,NCI,C8028
572483,DOID:0080331,OMIM,617055
553528,DOID:9505,SNOMEDCT_US_2019_09_01,37344009
548844,DOID:0050445,NCI,C85234
559794,DOID:4860,UMLS_CUI,C1332608
554245,DOID:5348,NCI,C27241
568794,DOID:176,SNOMEDCT_US_2019_09_01,721573003
576278,DOID:865,UMLS_CUI,C0042384
564930,DOID:1849,ICD9CM,304.3
569451,DOID:9741,MESH,D001660
549424,DOID:12030,SNOMEDCT_US_2019_09_01,75614007
552679,DOID:1037,ICD9CM,204
573074,DOID:1926,UMLS_CUI,C0017205
573748,DOID:3456,MESH,D002579
570670,DOID:0110151,ICD10CM,G60.0
549100,DOID:13499,ICD10CM,C17.1
548518,DOID:0060244,OMIM,606711
542739,DOID:4136,NCI,C3255
546179,DOID:0060305,UMLS_CUI,C0344530
560506,DOID:4090,MESH,D000377
548915,DOID:6658,UMLS_CUI,C1265996
547816,DOID:14737,ORDO,1520
553719,DOID:13365,UMLS_CUI,C0154631
573837,DOID:2848,MESH,D003866
570562,DOID:13444,ICD9CM,024
573368,DOID:10842,ICD9CM,062.4
543745,DOID:11476,UMLS_CUI,C0029456
563515,DOID:3149,MESH,D007636
563995,DOID:1786,UMLS_CUI,C0001630
549311,DOID:1756,SNOMEDCT_US_2019_09_01,422426003
565159,DOID:0050814,UMLS_CUI,C1854466
560290,DOID:0050448,SNOMEDCT_US_2019_09_01,389203001
554976,DOID:0050690,OMIM,271530
561958,DOID:1785,UMLS_CUI,C0032019
552480,DOID:13548,UMLS_CUI,C0030569
546189,DOID:6594,NCI,C39835
572956,DOID:10159,UMLS_CUI,C0027543
550706,DOID:0090026,OMIM,225300
546467,DOID:5230,GARD,6169
543072,DOID:0060241,MESH,C535314
576525,DOID:0050801,GARD,9269
542813,DOID:0050545,OMIM,306955
559298,DOID:11164,SNOMEDCT_US_2019_09_01,35055000
555156,DOID:3635,GARD,11902
544495,DOID:0060228,OMIM,614252
572569,DOID:0110470,OMIM,601869
573870,DOID:962,UMLS_CUI,C0027830
571557,DOID:0111085,OMIM,617247
551962,DOID:12217,GARD,3243
569943,DOID:7105,SNOMEDCT_US_2019_09_01,126699008
570631,DOID:0110962,ICD10CM,Q73.8
557582,DOID:0060801,ORDO,85282
549843,DOID:13742,UMLS_CUI,C1336047
568170,DOID:12580,ICD10CM,Q93.4
550361,DOID:3317,UMLS_CUI,C1333962
559224,DOID:12171,UMLS_CUI,C0748226
548745,DOID:0050961,OMIM,604432
560632,DOID:7004,OMIM,219090
555486,DOID:331,SNOMEDCT_US_2019_09_01,23853001
543172,DOID:0111554,MESH,C535797
574882,DOID:7427,GARD,8157
556684,DOID:9945,ICD10CM,H05.24
551043,DOID:1386,SNOMEDCT_US_2019_09_01,190787008
544883,DOID:2893,SNOMEDCT_US_2019_09_01,285432005
549686,DOID:0110131,GARD,10208
568463,DOID:9778,KEGG,05321
566460,DOID:367,ICD10CM,G52.0
558842,DOID:7926,UMLS_CUI,C0279705
569152,DOID:0070313,NCI,C34418
549287,DOID:14283,OMIM,259100
548402,DOID:5083,ICD9CM,244.2
565595,DOID:9043,ICD9CM,622.2
550399,DOID:0110340,ICD10CM,Q78.0
550247,DOID:7223,UMLS_CUI,C0346157
574494,DOID:0070202,UMLS_CUI,C1720860
549922,DOID:0070053,OMIM,615761
575009,DOID:0070228,OMIM,147480
566610,DOID:2700,UMLS_CUI,C0334499
546314,DOID:0111732,OMIM,600002
557311,DOID:0060775,MESH,C537470
549258,DOID:9348,SNOMEDCT_US_2019_09_01,720626009
573861,DOID:0110246,ICD10CM,Q12.0
552832,DOID:0060819,OMIM,300861
545536,DOID:0111506,GARD,3102
567483,DOID:11577,GARD,10987
