id,go_id,component_id
1237015,GO:0007605,6144
1220686,GO:0005119,4383
1233597,GO:0010923,5681
1338760,GO:0030893,15890
1429894,GO:0005829,7226
1363321,GO:0004652,18084
1275484,GO:0031012,9925
1213127,GO:0045739,3810
1487793,GO:0045322,12100
1378304,GO:0005634,19532
1205414,GO:0030371,3150
1477869,GO:0035082,6994
1339665,GO:0000139,15963
1444491,GO:0044322,16361
1418116,GO:0019371,1969
1416952,GO:0005634,1836
1189111,GO:0050955,1962
1475365,GO:0045087,5535
1210777,GO:0042981,3603
1398280,GO:0008209,22392
1255829,GO:0060441,7945
1485639,GO:2001169,10789
1424559,GO:0005829,3521
1385960,GO:0001895,20246
1294800,GO:0005886,11853
1316706,GO:0016021,13919
1406418,GO:0097421,677
1267333,GO:0033089,9180
1498436,GO:0016477,17385
1377249,GO:0006366,19424
1218316,GO:0016532,4207
1197662,GO:0005654,2641
1216146,GO:0032383,4033
1395549,GO:0032874,22652
1448360,GO:0005338,18971
1321013,GO:0000978,14376
1265412,GO:0032947,8997
1394288,GO:0007093,21421
1420600,GO:0051289,2473
1472886,GO:0035811,4287
1213775,GO:0030229,3842
1419476,GO:0004089,2321
1283668,GO:0031589,10584
1245210,GO:0016020,7017
1262546,GO:0006879,8743
1367906,GO:0008595,18518
1298979,GO:0005886,12267
1302375,GO:2000576,12658
1399011,GO:0002376,22447
1417338,GO:0007167,1861
1302292,GO:0046982,12652
1474301,GO:0000902,4887
1439204,GO:0046983,13009
1176940,GO:0047374,1046
1420367,GO:0042752,2459
1321417,GO:0008134,14396
1173476,GO:0045892,834
1187767,GO:0030539,1747
1471856,GO:0005654,3828
1222756,GO:0010862,4520
1177960,GO:0043161,1121
1367331,GO:0031338,18471
1175390,GO:0008236,938
1233795,GO:0006477,5697
1394685,GO:0046872,23410
1386669,GO:0005576,20332
1432807,GO:1904000,9131
1206762,GO:0016020,3275
1430589,GO:0005654,7544
1489278,GO:0034622,12825
1325745,GO:1900113,14780
1332825,GO:0002223,15435
1427907,GO:2000810,5960
1190376,GO:0001570,2065
1411318,GO:0005886,1111
1396358,GO:0050968,22688
1283576,GO:0019904,10579
1277177,GO:0006739,10095
1291129,GO:0045843,11438
1274008,GO:0002480,9816
1260394,GO:0005518,8605
1459098,GO:0060078,234
1369054,GO:0007218,18626
1452838,GO:0003707,21818
1262990,GO:0043584,8793
1414600,GO:0018107,1438
1299671,GO:0005737,12370
1412438,GO:0042220,1216
1233989,GO:0005634,5753
1240621,GO:0051560,6530
1315061,GO:0004930,13700
1280678,GO:0031622,10347
1364010,GO:0006887,18124
1270156,GO:0008104,9482
1329472,GO:0006355,15115
1468088,GO:0034039,2579
1269494,GO:0042277,9402
1285391,GO:0045095,10742
1408631,GO:0045907,914
1444024,GO:0005886,16075
1198423,GO:0016361,2674
1491553,GO:0030334,14141
1286460,GO:0005886,10854
1249108,GO:0008270,7346
1370327,GO:0032354,18717
1259897,GO:0005796,8563
1476769,GO:0005544,6374
1430656,GO:0007186,7594
1362599,GO:0036258,18029
1163582,GO:0070509,172
1173731,GO:0010839,847
1323500,GO:0005887,14591
1260367,GO:0016363,8603
1323673,GO:0005634,14602
1312107,GO:0043524,13413
1448317,GO:0005794,18889
1244849,GO:0005829,6990
1391782,GO:0046872,21024
1432737,GO:0007411,9086
1203177,GO:0001525,3023
1381386,GO:0008270,19864
1215772,GO:0060271,4003
1364273,GO:0043433,18140
1208285,GO:0051897,3393
1422596,GO:1905077,2748
1328127,GO:0010008,14969
1212098,GO:0030016,3722
1343596,GO:0010628,16339
1320558,GO:0045909,14345
