struct_id,atc_code,id
4302,R03AL09,4007
119,C09XA53,111
2391,J05AE03,2830
4786,D08AK01,4449
1109,N01AX07,1267
2146,S01GA05,2554
861,N02BB51,961
1407,M01AE51,1622
1371,A03AB10,1558
1261,S01AA13,1473
163,B02AA01,152
1547,A02BC03,1785
4944,J05AR18,4625
4689,C02LG73,4347
4390,R03DB02,4112
4809,C02KX04,4475
1040,B01AC16,1172
5183,L01FX10,4829
1208,S01CB05,1400
2485,M03BA04,2946
1082,G03AA12,1228
1231,B03AD04,1430
2767,A10BG01,3266
3109,J01XX03,3468
1139,R05DB14,1294
4965,M05BX04,4650
4416,D08AJ06,4140
183,C10BX07,195
1534,A06AD12,1764
3455,C02CC06,3604
1499,R03CB01,1718
1725,A10BD15,2002
4301,V09AX04,4001
2709,L02BA02,3190
4059,V09DX01,3746
1529,S01BC05,1755
1400,N05BB01,1609
1355,D01AE11,1542
2245,D07XA02,2647
4383,A12AA05,4105
183,C10BX03,194
255,C07AB03,271
1148,C08EA01,1302
1547,A02BD09,1790
228,N04BC07,246
2326,R01BA52,2735
471,B02AB04,516
5403,P03AX07,5024
4261,B03AA02,3944
626,M03BB03,686
525,J01DC04,564
2840,M05BB03,3350
1261,D06AX01,1470
2137,M03BA01,2535
624,J01AA03,681
5432,H01CC54,5047
1620,G03FB02,1884
673,R03CC13,745
2366,A10BX02,2792
1962,H01CC53,2327
4462,D08AJ59,4175
2334,R06AX08,2747
1095,G03DC06,1253
1997,J01RA05,2375
2525,A07EC01,2988
5440,J05AJ04,5053
4570,M09AA01,4269
4387,N02BA15,4110
2015,N05BA04,2397
2424,A04AD51,2885
4265,S02AA14,3953
1988,A07EC03,2364
4357,J02AX06,4076
3178,D03AX10,3500
1073,J04AK02,1204
1720,R03AB03,1987
1170,R06AX26,1335
202,L01DB10,232
1313,N05CE01,1514
3862,D11AH04,3698
4735,A05BA07,4396
920,R06AA07,1032
621,N05AA01,676
