id,appl_type,appl_no,product_no,exclusivity_code,exclusivity_date
25417,N,214103,001,ODE-415,2029-10-06
24855,N,204630,002,ODE*,2023-04-08
24331,N,204026,001,ODE-297,2027-05-14
24494,N,210251,002,NCE,2023-02-07
24852,N,207620,001,M-82,2024-02-16
25659,N,213150,001,I-829,2023-05-01
24112,N,021606,002,ODE-125,2023-10-18
24106,N,021366,003,ODE-118,2023-05-27
24303,N,203214,001,NPP,2023-09-25
25599,N,217513,001,NP,2026-03-16
25815,N,021986,003,PED,2025-05-09
25537,N,212304,002,NP,2025-03-11
25709,N,214900,001,NCE,2026-06-01
25456,N,215256,003,NPP,2025-12-23
24701,N,210563,002,ODE-405,2029-08-24
24820,N,208984,001,NPP,2023-10-30
25981,N,208082,002,PED,2024-10-03
25714,N,214187,001,M-277,2025-04-27
25044,N,211746,001,NP,2025-01-13
25495,N,211675,003,NCE,2024-08-16
25339,N,214377,002,NCE,2026-01-19
25025,N,210861,002,ODE-220,2025-11-26
24067,N,021986,001,ODE-164,2024-11-09
26051,N,205435,001,GAIN,2024-06-20
26083,N,214155,001,GAIN,2024-08-06
24719,N,208798,004,NPP,2024-07-09
25697,N,214510,001,NP,2025-04-22
24918,N,208341,002,NS,2023-03-19
24656,N,205555,002,ODE-143,2024-05-01
26037,N,213491,002,PED,2025-06-22
24717,N,208799,004,M-61,2024-07-09
24256,N,205834,002,ODE*,2024-04-07
24336,N,204114,003,ODE-183,2025-05-04
24979,N,212306,002,ODE*,2027-06-22
24973,A,209700,001,PC,2023-09-08
24456,N,204447,003,M-187,2024-01-22
25164,N,213411,002,I-906,2026-01-19
24070,N,021995,002,M-187,2023-12-04
24252,N,205436,001,NPP,2023-06-19
25032,A,209668,001,PC,2023-09-08
24388,N,205053,001,NPP,2024-05-31
25618,N,212728,001,I-865,2024-05-27
25294,N,215498,003,ODE-363,2028-07-20
25961,N,207695,001,PED,2023-09-23
24655,N,205555,002,ODE-191,2024-05-01
25197,N,209511,001,NP,2023-08-28
24579,N,208558,002,ODE-306,2027-05-08
24679,N,205836,003,NPP,2024-08-27
24129,N,021880,006,ODE-245,2026-05-28
24712,N,210563,004,ODE*,2023-03-04
