ndc_product_code,label_id,id
55550-801,a966859f-bf96-5d66-e053-2a95a90a9b58,109295
14141-141,dc25651b-0e30-c325-e053-2995a90a809e,145353
69238-1153,e6be198c-2a5a-4442-8b6d-4ed21a740065,30191
55700-945,65d2dc7b-f8c3-4e50-970b-a2ef209d25eb,47387
53002-1335,e1d39d2f-7c65-4b68-acfa-0d345714ce6e,29302
16714-003,57fcf82e-4120-4fb6-b7dd-9c3ec50a9c4c,35026
79291-653,a8d482d1-2925-107f-e053-2995a90ab812,114256
68682-021,74d32a8a-c4c2-4dbb-b376-eea3f8fa64d7,17178
63739-413,b89656fc-6917-434c-bec2-a4e064e6682a,28252
58892-356,dd68eba8-8d90-487e-a659-327bc3b5bc1a,78469
58602-221,30054101-3e9e-4da9-bc5c-abdab7a5898a,118677
49702-228,63df5af3-b8ac-4e76-9830-2dbb340af922,42269
50268-585,b9fa8381-b75e-b1cd-e053-2a95a90a9883,32093
72572-074,80217bd6-2bc4-401c-9345-22532b36a24f,56740
72189-307,d44e23db-381a-cfc3-e053-2995a90a13c8,55227
73308-358,63a3789a-8fe9-4149-8b7d-d7e6d32aadc5,49326
72839-515,043b447c-4519-37ce-e063-6394a90a7197,152441
51316-052,f6f45d9c-f9fc-225b-e053-6394a90a30e1,149803
66969-6022,b972f07d-3332-450f-8e66-fb935cc09ca9,80897
72043-2287,dffc3fde-5b6e-4a62-8289-9733be43455b,118289
63739-076,d9b7ccf8-aec2-9f48-e053-2a95a90a5d04,62980
0409-8126,93cf0914-de08-4ec6-8f8c-d663243b9958,66091
67877-417,7b4ecaf9-e84c-4660-9cd1-65a238efd8a8,19491
68071-4920,8af9b9ee-8a64-53f5-e053-2a95a90a62a4,33701
57337-015,97dee45e-53be-4b37-a427-fc24388c0e05,95299
43602-283,c47c0704-26f1-41ba-8af6-50250686d612,30698
19218-0001,22cb91e0-ba76-3032-e054-00144ff8d46c,50526
77998-000,a614c2bf-5aba-b5a6-e053-2a95a90a5c20,139572
72146-004,70142046-b706-0653-e053-2a91aa0a8b2d,90244
63187-097,fa22943c-27d3-4419-be9b-ffe7de1a2416,19073
54868-1050,8975a041-76dd-4c5e-aa83-e1021d55a084,77504
73358-911,620ce53a-819d-4556-9069-6f9f13dbc50b,147832
64942-1841,ba4979a3-ae30-42e4-e053-2995a90abfe7,123265
41250-745,aaa825e8-5057-7895-e053-2a95a90a6a35,110626
0338-0050,2a96096d-43cc-49b7-af53-b53c17f41001,54263
54868-6160,6ad06079-bc6f-4dcb-b684-82fbe3a8cb5d,1423
11084-116,c10e0606-6323-4c2e-8f85-3382e3f84246,76745
76214-011,48f016f1-82d4-46c1-917a-b30d4f5c2655,75905
67046-653,2e5c6b7f-1d57-4114-9067-79dca009c4cc,1393
71246-4019,942b2f83-00f1-44c8-bcc1-fd25b92edd11,89286
51367-034,a43fe8df-87da-4073-b078-ec1712bd6807,123193
20890-0040,515cd17d-3abc-4564-84cb-51cba32f0d1c,139039
47124-434,38cd7304-e6d7-4dca-8a75-5bcaa0a96fb3,146068
29500-9354,34ec44d9-702b-4318-922a-af5346ff2c71,86535
0363-7130,09ef6ddb-c7b8-0f85-1eae-c97de84dc220,125644
10135-649,64abfa40-e0ab-46ae-8c7c-7c199b89b7c1,12479
67091-315,ac1c8633-4064-4e2f-9b43-4ae9bdd1a427,117623
54879-039,1afd7fc5-25c9-4796-b376-081b20de8ab3,67331
80684-081,d641ac0d-c25b-4727-b7da-107cdc3312af,148649
73096-064,95e52a8d-2b49-f650-e053-2a95a90aa877,100446
0280-2040,0c771119-4cb4-7137-e054-00144ff88e88,139371
36800-738,031eeb47-9a41-4915-a100-531ca0e88abe,90376
24208-816,a4d03de7-06b7-4cfc-9d1b-616969df209c,39851
51009-106,7f20f8a0-75f9-4365-b00a-a53c6a35b448,75149
70518-2365,75518629-8152-4741-a50f-43596b6036aa,55808
64525-0554,a3a2ab6e-10de-48d6-8b35-3f266d2c4e8f,73171
0002-4182,866e9f35-9035-4581-a4b1-75a621ab55cf,58588
31722-719,f266ab7b-5a68-42b5-b204-e3249bea0aed,35937
64980-226,867748a2-0113-469b-8707-2fcc1e1f105b,8570
71578-004,559044e1-cf42-7112-e054-00144ff88e88,87225
70741-005,1ddd3803-27f3-46dd-aacb-15e402d77602,85124
71776-024,3e6fecc1-df71-4c01-a654-f55635617a7f,51627
55165-1007,cf59f639-11f1-4374-9e5a-7a42f0760089,113073
75010-080,e0e1cb94-0308-439d-bd54-fac7bf3515de,108262
49035-559,7fc09c01-a822-4b8b-a967-dcc7048d226c,83460
16714-761,133a4b65-762b-4712-baba-2442546f0379,23977
70518-2673,35f52a3c-6e79-40c1-91db-0db4335b20d9,59864
24488-005,3d321ada-f343-4905-bd9d-aa1d6e3e9511,73802
71205-322,88c4183a-3032-46de-bf18-f700055f617b,134150
31722-903,2a20b006-aad2-4cef-ac01-5acc557412c5,10075
51316-740,3148f80f-8a0d-4b6c-85be-79085fc04444,150101
61442-403,8c23864d-2374-49c5-8630-4301b8837e2e,38039
14222-2300,dc230e1e-bfb8-4d7c-bad5-bff77d78220e,123835
49884-290,4f94daf8-ceb9-4577-ab71-8b7e3db7ff8e,18384
41250-208,d1278309-f0d5-44f7-8117-b40d7ff0e1c4,124732
11822-0904,6088eea3-f8f0-4f28-8d38-c2209f2d6626,124369
69351-010,ba12597d-1c72-4b3d-b34f-ce15884c3c49,82061
69842-333,372ae3fb-fec0-4c7b-853b-12835c830311,89623
70710-1049,85071242-ccf6-43d7-8ee6-87273d21256f,16504
80136-779,eea1e7ec-1cdf-02e3-e053-2a95a90aed44,148383
0378-0757,a7048c81-6769-436b-8397-fbaa7489fcdf,48728
43063-453,5412835b-27c6-461f-97b9-b5bf03afe7f2,58166
50090-4770,89deaa8c-74d9-4916-ae0d-6c2b908b078c,39628
0591-2533,ed826777-b8c4-4d35-aa64-a4c28452baa8,64273
68071-1651,55e1f68a-836b-5c23-e054-00144ff88e88,64920
24338-134,b455bbdb-a3f1-470f-aa5f-ed83ac2e228d,43233
10596-340,92deaa34-f2c8-412d-98d4-4c5d8fcec03c,137282
76554-006,b8ccf578-f618-7ef8-e053-2995a90a5766,122426
43063-553,f5bbbf87-f059-4bbd-aea9-27d31462654f,58726
76144-192,ab9cfccd-43c9-61f9-e053-2995a90a7ec7,140245
34645-4059,eb30e5de-9074-4760-8e92-e1d1c127227d,124344
63629-2287,5e6ced5f-b8ef-4e6b-a7c1-730bac650c5b,36405
42291-027,feb9438a-9cbc-4855-e053-6394a90af15e,71149
68071-4894,88f1d6b8-c2aa-1eb7-e053-2995a90a4be6,33675
43405-006,d9a93daa-4e24-6690-e053-2a95a90a147c,144805
67877-438,a8f95207-b259-4f50-87f2-3652d9268890,19453
21695-953,087ae128-1a5d-406e-8bd3-15cb640f6922,3539
69197-394,002052df-83ac-4efd-926c-b60a8f64cec4,91723
49483-242,588c424a-8dd6-417e-8f76-2ce0cc2b0c12,91967
69521-041,616aa460-7857-9f4d-e053-2a91aa0a5d58,11219
71610-398,9c627ec3-d1fb-4d60-9adb-6a5be26f0bba,22322
51672-5281,e417856a-b760-4626-bc34-8e4bc62c026c,48284
53329-842,a964cacc-2f35-4866-e053-2a95a90a267f,142740
43066-090,11cb37c7-01b4-4223-b2ea-a3695639b80b,55111
63304-599,215516de-ed61-4b68-bf61-db15fa4f76cf,6288
68421-8100,d9068a54-6123-4715-b025-a5bdb4d5c702,84814
68828-102,446c43b9-b29f-4c9a-bdf2-1844571c428f,108375
76281-315,0163af5d-5256-404e-9195-624c4ffc8087,91276
41167-0938,8d7faeab-ac70-472a-acbb-de67493718ce,112118
31722-046,9261a9d6-f772-41a2-ac99-8608c04c355b,64632
0363-6150,8745d9d8-640d-4e3b-96fe-d25032c1e3ce,131392
0378-5352,5748bf23-ac77-4594-8a4c-3ffd15835e38,40964
73333-059,a5402b73-4fb4-236d-e053-2995a90a1b73,104824
0113-0096,77088392-546b-45e4-83e7-7e3117e59a42,94882
71335-0537,aed4f6aa-cdfc-4180-99d0-de71bf587264,59719
62191-402,dd1ae718-d131-456b-a2d1-f34c42d62fa8,137744
0173-0565,f8e0d8f8-cb73-4206-a484-88f5c4fbd719,40943
21749-824,2cd23a00-7475-4887-9afb-bdc251c98949,98858
0093-1025,51ff7db5-aaf9-4c3c-86e6-958ebf16b60f,53628
