id,appl_type,appl_no,product_no,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag
226580,N,201655,006,7851482,2029-07-10,Y,,,
216281,N,202834,003,6949571,2024-06-08,Y,Y,U-2088,
225136,N,206627,003,11304909,2027-08-24,,,U-1556,
231355,N,202799,005,7919118,2024-05-12,Y,Y,,
227496,N,204592,001,9180096,2030-04-23,,Y,,
233493,N,202192,004,8822481*PED,2028-12-12,,,,
219265,N,208716,004,7855211,2029-12-15,Y,Y,U-2132,
224908,N,022118,002,8481078,2024-10-01,,Y,U-1416,
230727,N,208798,006,9616024,2024-09-01,,Y,,
220476,N,206488,002,10364431,2034-03-14,,,U-1918,
223081,N,202971,001,11400087,2033-09-24,,,U-1632,
225658,N,022352,001,7964648,2028-10-06,,,U-1161,
221505,N,022200,002,8906851,2026-08-18,,,U-3188,
222610,N,205677,001,11633377,2033-01-25,,,U-3003,
227659,N,208627,001,9339466,2031-03-23,Y,Y,,
217969,N,207202,003,9444503,2027-11-19,,Y,U-2169,
225263,N,204242,001,11020388,2032-09-18,,Y,U-3131,
225613,N,214522,001,11666576,2038-12-24,,Y,U-3397,
228644,N,205636,001,9216260,2031-06-28,,Y,,
221922,N,207533,002,11097006,2033-10-24,,Y,U-764,
228620,N,202833,001,8372828,2026-12-18,,Y,,
219088,N,021379,001,8470359,2023-10-15,Y,Y,U-621,
225889,N,209863,002,11160751,2034-10-07,,Y,U-2418,
218485,N,021880,004,7468363,2023-10-07,,,U-2551,
228689,N,205422,002,RE48059,2028-12-23,Y,,,
222236,N,209363,001,10335390,2035-09-04,,Y,U-3270,
228138,N,208798,002,9216260,2031-06-28,,Y,,
218505,N,211230,001,8440715,2031-06-11,,,U-2548,
223844,N,210565,001,9737491,2033-05-03,,,U-2492,
233325,N,204114,001,7378423*PED,2027-11-29,,,,
220255,N,211723,001,9688665,2034-08-22,,,U-2736,
234301,N,208341,002,8889159*PED,2029-09-26,,,,
230912,N,209241,002,10906902,2036-12-22,Y,Y,,
231420,N,202811,001,7704947,2024-01-28,Y,Y,,
218448,N,201635,001,10314790,2027-11-16,,Y,U-1675,
223177,N,212102,001,10478441,2033-05-03,,,U-2860,
223663,N,209241,003,10857148,2037-10-10,,,U-1995,
230539,N,208624,001,8420596,2031-04-10,Y,Y,,
221880,N,211651,005,9820985,2029-07-27,,,U-2437,
233905,N,208510,003,7678771*PED,2023-08-24,,,,
219422,N,200603,005,9259423,2031-05-23,,,U-1822,
222375,N,215430,001,10894046,2034-11-05,,,U-3419,
225936,N,204819,004,11203593,2034-02-18,Y,Y,U-2835,
218011,N,022450,001,9987238,2028-11-13,,,U-2261,
222531,N,022580,001,9011906,2028-06-09,,,U-3398,
220363,N,211635,002,8927497,2025-07-21,,Y,U-2727,
226621,N,022416,001,9566244,2028-10-23,,Y,,
