id,struct_id,drug_class_id
3579,4329,7274
456,519,4150
3096,146,6791
4380,1427,7717
844,3952,4538
1126,1421,4820
4055,4852,7692
1391,2642,5085
4167,1053,7709
2835,855,6529
2812,1352,6506
1600,1362,5294
2195,2028,5889
1613,412,5307
728,714,4422
1293,2526,4987
2984,3232,6679
1699,187,5393
2924,539,6618
419,1710,4113
3850,4757,3891
1579,3390,5273
2125,1676,5819
4374,852,7717
1125,2032,4819
1167,103,4861
480,1024,4174
4463,2480,7727
1426,2614,5120
4361,799,7718
3448,4203,7143
2223,111,5917
985,3376,4679
639,244,4333
2709,945,6403
602,3068,4296
2113,580,5807
2184,2341,5878
2882,529,6576
835,3752,4529
4748,2090,7755
561,3286,4255
3426,4430,7121
2569,1268,6263
1119,2652,4813
3769,4548,7464
4150,780,7709
4799,1353,7756
834,1539,4528
4382,1758,7717
2674,651,6368
1232,3702,4926
4157,897,7709
280,172,3974
1324,1427,5018
941,1663,4635
4448,2267,7725
3165,2661,6860
4472,2405,7726
4209,1893,7709
4660,4864,7737
2330,174,6024
2286,2300,5980
1130,322,4824
611,666,4305
4785,4176,7756
2487,2677,6181
3792,4571,7487
884,2270,4578
4574,814,7737
3737,4516,7432
3160,888,6855
469,1100,4163
298,769,3992
2650,2419,6344
307,2153,4001
1171,224,4865
4534,2346,7735
2290,849,5984
2206,477,5900
519,4072,4213
4559,4359,7737
276,759,3970
2175,3843,5869
3925,4665,7562
1840,1128,5534
3916,4642,7553
1175,959,4869
2043,2093,5737
4553,176,7737
