id,property_type_id,property_type_symbol,struct_id,value,reference_id,reference_type,source
8885,2,BDDCS,5067,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
1308,2,BDDCS,1813,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7256,6,t_half,2698,2.15,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
807,4,EoM,1098,50.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5266,3,CL,711,1.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2786,7,MRTD,1556,0.1461564451,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
386,4,EoM,568,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
909,4,EoM,1230,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7857,8,Vd,4484,4.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4206,1,BA,2323,99.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
5369,8,Vd,824,0.94,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6760,6,t_half,2187,0.96,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1534,2,BDDCS,2079,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2847,7,MRTD,1732,1.922799945,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
1224,2,BDDCS,1690,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8309,9,S,1530,10.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
3527,1,BA,34,83.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
5536,3,CL,959,6.83,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8304,9,S,1490,0.8,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
5709,3,CL,1164,4.7,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6210,5,fu,1676,0.003,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4542,3,CL,2854,2.38,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5817,3,CL,1255,11.8,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7741,3,CL,4182,2.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1389,2,BDDCS,1897,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7050,5,fu,2491,0.075,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5294,6,t_half,738,0.8,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3927,1,BA,1437,65.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
1395,9,S,1904,0.1,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1769,4,EoM,2419,2.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
9029,5,fu,1540,0.373,3715,JOURNAL ARTICLE,DruMAP
6256,6,t_half,1725,1.7,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7238,3,CL,2684,1.6,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1934,9,S,2656,1000.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2311,7,MRTD,163,1524.669067,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
6366,6,t_half,1806,2.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3952,1,BA,1539,86.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
1399,9,S,1909,7.9,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3080,7,MRTD,2377,24.30247879,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
8684,2,BDDCS,502,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
4515,3,CL,5294,3.71,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
825,2,BDDCS,1115,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1607,4,EoM,2245,16.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
477,2,BDDCS,663,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
483,9,S,668,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1274,2,BDDCS,1768,2.0,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
